data,descricao,abrangencia
2021-02-17,Quarta Feira de Cinzas,FACULTATIVO
2021-04-02,Sexta-Feira Santa,NACIONAL
2021-04-21,Dia de Tiradentes,NACIONAL
2021-04-23,Dia de São Jorge,ESTADUAL
2021-05-01,Dia do Trabalho,NACIONAL
2021-06-03,Corpus Christi,FACULTATIVO
2021-09-07,Independência do Brasil,NACIONAL
2021-10-12,Nossa Senhora Aparecida,NACIONAL
2021-10-28,Dia do Servidor Público,FACULTATIVO
2021-11-02,Dia de Finados,NACIONAL
2021-11-15,Proclamação da República,NACIONAL
2021-11-20,Dia da Consciência Negra,ESTADUAL
2021-12-25,Natal,NACIONAL
2021-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2022-01-01,Ano Novo,NACIONAL
2022-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2022-02-28,Segunda de Carnaval,FACULTATIVO
2022-03-01,Carnaval,ESTADUAL
2022-03-02,Quarta Feira de Cinzas,FACULTATIVO
2022-04-15,Sexta-Feira Santa,NACIONAL
2022-04-21,Dia de Tiradentes,NACIONAL
2022-04-23,Dia de São Jorge,ESTADUAL
2022-05-01,Dia do Trabalho,NACIONAL
2022-06-16,Corpus Christi,FACULTATIVO
2022-09-07,Independência do Brasil,NACIONAL
2022-10-12,Nossa Senhora Aparecida,NACIONAL
2022-10-28,Dia do Servidor Público,FACULTATIVO
2022-11-02,Dia de Finados,NACIONAL
2022-11-15,Proclamação da República,NACIONAL
2022-11-20,Dia da Consciência Negra,ESTADUAL
2022-12-25,Natal,NACIONAL
2022-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2023-01-01,Ano Novo,NACIONAL
2023-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2023-02-20,Segunda de Carnaval,FACULTATIVO
2023-02-21,Carnaval,ESTADUAL
2023-02-22,Quarta Feira de Cinzas,FACULTATIVO
2023-04-07,Sexta-Feira Santa,NACIONAL
2023-04-21,Dia de Tiradentes,NACIONAL
2023-04-23,Dia de São Jorge,ESTADUAL
2023-05-01,Dia do Trabalho,NACIONAL
2023-06-08,Corpus Christi,FACULTATIVO
2023-09-07,Independência do Brasil,NACIONAL
2023-10-12,Nossa Senhora Aparecida,NACIONAL
2023-10-28,Dia do Servidor Público,FACULTATIVO
2023-11-02,Dia de Finados,NACIONAL
2023-11-15,Proclamação da República,NACIONAL
2023-11-20,Dia da Consciência Negra,ESTADUAL
2023-12-25,Natal,NACIONAL
2023-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2024-01-01,Ano Novo,NACIONAL
2024-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2024-02-12,Segunda de Carnaval,FACULTATIVO
2024-02-13,Carnaval,ESTADUAL
2024-02-14,Quarta Feira de Cinzas,FACULTATIVO
2024-03-29,Sexta-Feira Santa,NACIONAL
2024-04-21,Dia de Tiradentes,NACIONAL
2024-04-23,Dia de São Jorge,ESTADUAL
2024-05-01,Dia do Trabalho,NACIONAL
2024-05-30,Corpus Christi,FACULTATIVO
2024-09-07,Independência do Brasil,NACIONAL
2024-10-12,Nossa Senhora Aparecida,NACIONAL
2024-10-28,Dia do Servidor Público,FACULTATIVO
2024-11-02,Dia de Finados,NACIONAL
2024-11-15,Proclamação da República,NACIONAL
2024-11-20,Dia da Consciência Negra,ESTADUAL
2024-12-25,Natal,NACIONAL
2024-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2025-01-01,Ano Novo,NACIONAL
2025-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2025-03-03,Segunda de Carnaval,FACULTATIVO
2025-03-04,Carnaval,ESTADUAL
